iter,loss
0,40972.1
1,40397.7
2,39637.8
3,38805.5
4,38224.9
5,36847.5
6,36815.8
7,36135.4
8,35132.1
9,34861.4
10,34420.7
11,34177.1
12,33393.8
13,33372.8
14,33176.4
15,32828.9
16,32284.8
17,31673.1
18,31120.5
19,30603.5
20,30211.1
21,29332.1
22,28778.4
23,28526.6
24,28311.6
25,28082.1
26,27703.3
27,27380.4
28,27021.7
29,26786.8
30,26400.7
31,25918.4
32,25308.4
33,24706.2
34,24455
35,24255.3
36,23965.4
37,23798.8
38,23503.2
39,23333.2
40,23102.5
41,22724.6
42,22509.4
43,22227.7
44,22108.5
45,21958.1
46,21899.9
47,21696.7
48,21405.2
49,21170.5
50,20974.8
51,20803.8
52,20668.4
53,20467.2
54,20295.2
55,20151
56,20025.5
57,19844.4
58,19715.5
59,19416.8
60,19247.9
61,19051.3
62,18882.6
63,18697.6
64,18548.7
65,18421.3
66,18329.7
67,18259.7
68,18207.1
69,18159.3
70,18005.8
71,17852.4
72,17650.9
73,17402.9
74,17247.1
75,17159.2
76,17101.3
77,17050.1
78,17004.8
79,16873.6
80,16821.2
81,16747.4
82,16590.3
83,16477.2
84,16302.7
85,16244.7
86,16045.1
87,15895.2
88,15777.3
89,15648.5
90,15606.4
91,15454.1
92,15367.4
93,15281.5
94,15192.8
95,15040.3
96,14896.5
97,14710.3
98,14569.9
99,14457.2
0,14355.2
