iter,loss
0,40972.1
1,27804.5
2,23880.1
3,23534.8
4,21366.7
5,21163.1
6,20909.1
7,20701.1
8,20454.6
9,20032.2
10,19496.2
11,19168.3
12,18452.8
13,17598.7
14,17093.4
15,15697.4
16,14906.5
17,14514.8
18,13562.2
19,12969.8
20,12276.1
21,11777.1
22,11333.8
23,11254.4
24,11165.6
25,10793.4
26,10357
27,10232.5
28,10112.1
29,9948.02
30,9809.94
31,9662.54
32,9446.55
33,9233.81
34,8986.34
35,8889.53
36,8846.99
37,8514.16
38,8314.45
39,7793.07
40,7467.65
41,7286.28
42,6942.86
43,6563.06
44,6253.37
45,6013.52
46,5919.3
47,5829.99
48,5766.96
49,5703.28
50,5672.96
51,5644.37
52,5618.42
53,5560.81
54,5443.5
55,5273.49
56,5027.2
57,4963.26
58,4798.79
59,4724.1
60,4717.11
61,4636.8
62,4555.56
63,4485.32
64,4482.11
65,4420.49
66,4397.47
67,4347.08
68,4293.02
69,4223.74
70,4208.09
71,4192.01
72,4152.73
73,4107.55
74,4032.2
75,3996.8
76,3971.53
77,3960.55
78,3954.05
79,3922.95
80,3882.91
81,3878.89
82,3820.72
83,3801.69
84,3768.15
85,3749.97
86,3710.77
87,3697.78
88,3666.39
89,3629.17
90,3590
91,3584.25
92,3564.2
93,3547.2
94,3532.07
95,3520.91
96,3515.2
97,3509.96
98,3475.22
99,3456.68
100,3434.69
