iters,loss
0,491665
1,491091
2,474335
3,474245
4,468645
5,439171
6,393379
7,368650
8,339538
9,303975
10,251576
11,231169
12,205312
13,175565
14,157547
15,141517
16,138112
17,126924
18,123247
19,118072
20,108405
21,102934
22,98322.9
23,95367.9
24,91623.2
25,87560.1
26,84345.1
27,80645.5
28,76856.7
29,76497.6
30,75691.7
31,74304.5
32,72177.7
33,70626.8
34,68908.3
35,68213.2
36,67102.1
37,66094.1
38,65842.7
39,65425.8
40,64883.7
41,64166.9
42,63470.9
43,62503.4
44,61755.3
45,61378.4
46,60961.8
47,60442.3
48,59781.7
49,59285.9
50,58869.6
51,58525.1
52,58314.8
53,57942.3
54,57741.9
55,57513.4
56,56910.7
57,56597.3
58,56303.3
59,56017
60,55683.5
61,55539.7
62,55354.8
63,55304.4
64,55180.9
65,54954.7
66,54830.3
67,54583.2
68,54370.4
69,54123.2
70,53848.8
71,53662.6
72,53436.9
73,53347.6
74,53227.1
75,53001.8
76,52711.3
77,52593.2
78,52428.3
79,52178.7
80,52062.2
81,51918.1
82,51853.4
83,51784.2
84,51563.5
85,51464.7
86,51252.9
87,51149.8
88,51059.1
89,50930.4
90,50782.1
91,50668.9
92,50570.6
93,50497.8
94,50414.4
95,50243.4
96,50183.4
97,50085.3
98,49956.2
99,49868.7
100,49734.4
